,loss,accuracy,val_loss,val_accuracy,lr
0,0.3493068516254425,0.8670158386230469,0.4923385977745056,0.8343779444694519,0.001
1,0.2085733264684677,0.9148874282836914,0.2002432942390442,0.919696033000946,0.001
2,0.17591696977615356,0.9280738234519958,1.3236490488052368,0.5472005009651184,0.001
3,0.16067315638065338,0.9339078664779663,1.7441856861114502,0.5092369318008423,0.001
4,0.1484900265932083,0.9388777613639832,0.20173698663711548,0.9327104687690735,0.001
5,0.13491101562976837,0.9446612000465393,0.1376977115869522,0.9459379315376282,0.000100000005
6,0.13117817044258118,0.9462353587150574,0.15757112205028534,0.9396898746490479,0.000100000005
7,0.1292230784893036,0.9469397664070129,0.14886851608753204,0.9417691230773926,0.000100000005
8,0.127298042178154,0.947743833065033,0.183643639087677,0.9303706288337708,0.000100000005
9,0.12488491088151932,0.948801577091217,0.16281744837760925,0.9374003410339355,1.0000001e-05
10,0.12460459023714066,0.9489074349403381,0.17542214691638947,0.9339708685874939,1.0000001e-05
11,0.12436310946941376,0.9490028619766235,0.1678260862827301,0.935659646987915,1.0000001e-05
12,0.12410209327936172,0.9491056203842163,0.15576228499412537,0.9389523267745972,1.0000001e-06
13,0.12403237074613571,0.9491338729858398,0.17430399358272552,0.9332160353660583,1.0000001e-06
14,0.12401843070983887,0.9491466879844666,0.1667645424604416,0.9358857870101929,1.0000001e-06
15,0.12392434477806091,0.9491963982582092,0.1680934578180313,0.935310423374176,1.0000001e-07