,loss,accuracy,val_loss,val_accuracy,lr
0,0.32288214564323425,0.8733229041099548,0.20181705057621002,0.9241560101509094,0.001
1,0.1629926860332489,0.9335951805114746,0.14436988532543182,0.9429433941841125,0.001
2,0.14028103649616241,0.9423862099647522,0.18400199711322784,0.947651207447052,0.001
3,0.12600067257881165,0.947870135307312,0.11500222235918045,0.9537655115127563,0.001
4,0.11605346947908401,0.9517151713371277,0.12687310576438904,0.9543805718421936,0.001
5,0.1095232367515564,0.9542571902275085,0.10871347039937973,0.9569762945175171,0.001
6,0.1032543033361435,0.9567438960075378,0.10288538783788681,0.9575738310813904,0.001
7,0.10155430436134338,0.9573954343795776,0.10373224318027496,0.9602834582328796,0.001
8,0.09612549841403961,0.9594836831092834,0.09897378832101822,0.9622093439102173,0.001
9,0.09174028784036636,0.9611621499061584,0.0926004946231842,0.961523175239563,0.001
10,0.09462357312440872,0.9603679776191711,0.13033300638198853,0.9492025375366211,0.001
11,0.08848489075899124,0.9626977443695068,0.5208843946456909,0.6561457514762878,0.001
12,0.0836850255727768,0.9645017385482788,0.0906325951218605,0.9631990790367126,0.001
13,0.07975460588932037,0.9661352634429932,0.08302930742502213,0.9669501185417175,0.001
14,0.0770406499505043,0.9671986103057861,0.08342783898115158,0.9677704572677612,0.001
15,0.08327429741621017,0.9649045467376709,0.07466331869363785,0.9692103266716003,0.001
16,0.07432976365089417,0.968426525592804,0.08968156576156616,0.9638412594795227,0.001
17,0.07334363460540771,0.9687589406967163,0.07090383023023605,0.9703952074050903,0.001
18,0.07127334177494049,0.9695483446121216,0.3490017056465149,0.7180536389350891,0.001
19,0.0702393427491188,0.9701597094535828,0.07932823151350021,0.9681768417358398,0.001
20,0.06734171509742737,0.971352756023407,0.31408002972602844,0.7000330686569214,0.001
21,0.059768225997686386,0.9746423959732056,0.06174036115407944,0.9743726849555969,0.000100000005
22,0.059001725167036057,0.9749496579170227,0.06320924311876297,0.9735759496688843,0.000100000005
23,0.05855410918593407,0.9751132726669312,0.06283482909202576,0.974105179309845,0.000100000005
24,0.05819404125213623,0.975244402885437,0.061034444719552994,0.9745773673057556,0.000100000005