,loss,acc,val_loss,val_acc,lr
0,18.556364506483078,0.8869290351867676,37.165140956055886,0.8685341477394104,0.0010000000474974513
1,11.860328953713179,0.9240756630897522,12.550171005959605,0.921553373336792,0.0010000000474974513
2,10.464629279449582,0.9325163960456848,9.493181997654485,0.9426736235618591,0.0010000000474974513
3,9.593350103124976,0.9378829598426819,12.188970883687338,0.9396558403968811,0.0010000000474974513
4,8.965431671589613,0.9418028593063354,8.968803908310685,0.9435132145881653,0.0010000000474974513
5,8.646422712132335,0.9437302947044373,9.462465010437311,0.9415900111198425,0.0010000000474974513
6,8.125867498107255,0.9470210671424866,7.199525068787968,0.9550312757492065,0.0010000000474974513
7,7.790426281280816,0.9491807222366333,7.645045088786705,0.952118456363678,0.0010000000474974513
8,7.457299895584583,0.951240062713623,6.780375422215929,0.9588249325752258,0.0010000000474974513
9,7.1203324906528,0.9536406993865967,7.348776083366544,0.9543121457099915,0.0010000000474974513
10,7.0385616244748235,0.95396488904953,7.861923680585973,0.9479861259460449,0.0010000000474974513
11,6.807917706668377,0.9553672671318054,6.520806067130145,0.9589812159538269,0.0010000000474974513
12,6.443983610719442,0.9577412605285645,6.494085087495692,0.9589756727218628,0.0010000000474974513
13,6.406309421174228,0.9579435586929321,5.821865205671273,0.9639378190040588,0.0010000000474974513
14,6.145144638605416,0.9596192836761475,6.821643817658518,0.9548730850219727,0.0010000000474974513
15,5.878511608578265,0.9613456726074219,5.605964327559752,0.965351402759552,0.0010000000474974513
16,5.681049037724733,0.9626581072807312,5.570148319590325,0.9650728106498718,0.0010000000474974513
17,5.577449100557715,0.9632590413093567,5.202087701535692,0.9672258496284485,0.0010000000474974513
18,5.315190578345209,0.9650322198867798,5.031450056562237,0.9683433771133423,0.0010000000474974513
19,5.393152428325266,0.9644574522972107,5.44857647489099,0.9654479622840881,0.0010000000474974513
20,5.235857512336224,0.9655842781066895,5.915412526504666,0.9610232710838318,0.0010000000474974513
21,5.08165766345337,0.9665073156356812,7.635327890807507,0.9502421617507935,0.0010000000474974513
22,4.521313623059541,0.9705380797386169,4.7115008398598315,0.9705392718315125,0.00010000000474974513
23,4.399878453463316,0.9713408350944519,4.6487478169740415,0.9709945321083069,0.00010000000474974513
24,4.361465788912028,0.9715664982795715,4.67178313404906,0.9705676436424255,0.00010000000474974513